"","firm","culture","tenure","employments","sim_no","var_win","cond"
"306",11,-0.250851826490069,11.4745414499477,2,1,0.1,1
"307",11,-0.397281551659098,12.1618821099967,3,1,0.1,1
"308",11,-0.318940557231009,2.2958976851185,2,1,0.1,1
"309",11,-0.209068810931088,2.94950086860516,2,1,0.1,1
"310",11,-0.200049666152799,9.54729874877798,3,1,0.1,1
"311",11,-0.337088356626612,40.6343964078562,1,1,0.1,1
"312",11,-0.367600414824533,22.0908324970156,3,1,0.1,1
"313",11,-0.270109328721925,24.1990807591894,2,1,0.1,1
"314",11,-0.196570004716307,11.5096530173813,2,1,0.1,1
"315",11,-0.4563355829446,19.5887297236813,2,1,0.1,1
"316",11,-0.246239112925107,20.1759829717768,1,1,0.1,1
"317",11,-0.364206925657208,23.822976846807,2,1,0.1,1
"318",11,-0.339890045265237,8.0478837737572,1,1,0.1,1
"319",11,-0.311416114730185,12.9063819005484,3,1,0.1,1
"320",11,-0.372166850319281,9.68588805709616,1,1,0.1,1
"321",11,-0.422294918115074,118.260310162187,1,1,0.1,1
"322",11,-0.286213068795994,4.52915603892725,1,1,0.1,1
"323",11,-0.416830074538229,4.52930676263866,1,1,0.1,1
"324",11,-0.340425721698524,8.70898091841688,1,1,0.1,1
"325",11,-0.296489445226809,7.2392052489415,1,1,0.1,1
"326",11,-0.380919337289685,13.4268866096189,2,1,0.1,1
"327",11,-0.266891089747082,6.7802813052922,1,1,0.1,1
"328",11,-0.490841267405808,10.442290961859,3,1,0.1,1
"329",11,-0.2828726717396,6.50765960389419,1,1,0.1,1
"330",11,-0.32403469626748,8.11371067586495,2,1,0.1,1
"331",12,0.492617121918867,15.5086336553786,1,1,0.1,1
"332",12,0.466313448906522,25.9404238030653,1,1,0.1,1
"333",12,0.524959964936939,9.41596393494384,1,1,0.1,1
"334",12,0.420883301685313,12.6405347219358,2,1,0.1,1
"335",12,0.233512554884788,127.772756064135,2,1,0.1,1
"336",12,0.435387896414255,7.57454156685687,1,1,0.1,1
"337",12,0.445664104814233,2.00191711050756,1,1,0.1,1
"338",12,0.436016883687644,76.699527277458,2,1,0.1,1
