"","varbtwn_0","varwin_0","varbtwn_100","varwin_100","varbtwn_200","varwin_200","varbtwn_300","varwin_300","turnover","carriers","sim_no","socialize","b0","b1","b2","b3","eps_soc","alienate","r0","r1","r2","select","s0","s1","eps_hire"
"50",5.4868417915424,96.2290802727676,0.000568115453506361,0.0168946778176686,0.00929500625906788,0.291009575029973,0.000871267257502114,0.0255240803622685,0.0306312292358804,NA,1,1,0.05,0.3,0.3,0.1,0,1,0.03,10,0.1,0,10,0.01,10
"51",0.604897874163744,0.0102657688293613,3.7439682852655e-07,5.4319787617855e-06,1.34706595069458e-07,4.00552722027085e-06,2.9178500785463e-07,8.48708821763595e-06,0.0294721299372462,NA,1,1,0.05,0.3,0.3,0.1,0,1,0.03,10,0.1,1,0.1,0.01,0
"52",0.840185492563253,0.0102300934465633,8.50807616911262e-06,6.0256109626034e-05,4.54968501621055e-07,1.5218354088894e-05,1.434668273766e-06,4.43554212739192e-05,0.0298929494278331,NA,1,1,0.05,0.3,0.3,0.1,0,1,0.03,10,0.1,1,0.1,0.01,0.1
"53",0.738912542930103,0.990840580078122,3.242079292624e-06,4.13202880323656e-05,2.68919236260836e-05,0.000814362898088227,1.88883360274984e-05,0.000640576881246197,0.0298338870431894,NA,1,1,0.05,0.3,0.3,0.1,0,1,0.03,10,0.1,1,1,0.01,0
"54",0.844048442841696,1.03517225886014,3.19508853441751e-06,8.61896147730236e-05,1.75396177772783e-05,0.000504723277291089,1.97579196335318e-05,0.00062416388882995,0.0303469915097822,NA,1,1,0.05,0.3,0.3,0.1,0,1,0.03,10,0.1,1,1,0.01,0.1
"55",3.16043247900694,99.4226995929984,0.00127861582757174,0.0384182343059739,0.00357872208734395,0.104919331258495,0.00412217535342741,0.122816077895283,0.0309228497600591,NA,1,1,0.05,0.3,0.3,0.1,0,1,0.03,10,0.1,1,10,0.01,0
"56",4.85538680686338,108.270573193488,0.00362338299356623,0.10511622558609,0.000430566199744298,0.0115871650352733,0.00160477483574336,0.0373664743739566,0.0302842377260982,NA,1,1,0.05,0.3,0.3,0.1,0,1,0.03,10,0.1,1,10,0.01,0.1
"57",5.39109772884964,95.8412936404067,0.00606042838046118,0.167846249936042,0.00440355457741164,0.149136808419118,0.0054443863545982,0.197355050331665,0.0298043558508675,NA,1,1,0.05,0.3,0.3,0.1,0.1,0,0.03,0,0,0,10,0.01,10
"58",0.579696682250679,0.010819305108878,0.00373138062616702,0.0701417170406739,0.00262045100780028,0.0734070362200486,0.00287977298362468,0.0695389130234685,0.0304245108896272,NA,1,1,0.05,0.3,0.3,0.1,0.1,0,0.03,0,0,1,0.1,0.01,0
"59",1.21531115731105,0.0101402927984292,0.00348079468315705,0.0781567051899247,0.00307577863260896,0.074575241455824,0.00421024330318222,0.0778447049657261,0.0295865633074935,NA,1,1,0.05,0.3,0.3,0.1,0.1,0,0.03,0,0,1,0.1,0.01,0.1
"60",0.676184355162854,1.04381111311039,0.00254691591188275,0.0802342340362405,0.00335141748594485,0.0842443774182463,0.00358956295504329,0.0897924943823275,0.0300664451827243,NA,1,1,0.05,0.3,0.3,0.1,0.1,0,0.03,0,0,1,1,0.01,0
"61",1.10286785985614,0.938581933051213,0.00341943264576016,0.078717031622621,0.00378659549432003,0.0811581108527502,0.00255025031500403,0.0890772358224202,0.0295238095238095,NA,1,1,0.05,0.3,0.3,0.1,0.1,0,0.03,0,0,1,1,0.01,0.1
"62",3.95152958422145,101.325160172217,0.00476060415730703,0.131751095146604,0.00811959600567695,0.226455043674809,0.00900359911964353,0.229576802316316,0.0294610557401255,NA,1,1,0.05,0.3,0.3,0.1,0.1,0,0.03,0,0,1,10,0.01,0
"63",5.30866223306828,103.14886107419,0.0030215916290554,0.122150332316362,0.00772044590631234,0.209996011936996,0.00826705044058283,0.25155772364689,0.030140273163529,NA,1,1,0.05,0.3,0.3,0.1,0.1,0,0.03,0,0,1,10,0.01,0.1
"64",4.9053013012708,97.0105856280753,0.00792191659789162,0.231126212782867,0.0107108826446566,0.322362912724357,0.00555790758177322,0.162827797131231,0.0784422296050203,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,0.1,0.1,0,10,0.01,10
"65",1.68332892312268,0.00962662601483664,0.00129487013431259,0.0472916325327353,0.00157214906281003,0.0464698579349272,0.00156968260707531,0.0439670039423474,0.06953119232189,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,0.1,0.1,1,0.1,0.01,0
"66",1.07697623783933,0.0105638511404223,0.0021073639110461,0.0510825047801345,0.00184869265088426,0.0466017558845719,0.00198330278666761,0.0476050514877784,0.0694315245478036,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,0.1,0.1,1,0.1,0.01,0.1
"67",0.866579347591882,1.02464158393407,0.00308074630744542,0.0649003674678898,0.00485914055787171,0.0724525440198369,0.0071723420992918,0.0862640254466803,0.0757733480989295,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,0.1,0.1,1,1,0.01,0
"68",0.860423712185978,1.09721593077165,0.00322371162244758,0.0634716472425535,0.00438519969381489,0.075001204928628,0.00428841292291418,0.0829212489476997,0.0756699889258029,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,0.1,0.1,1,1,0.01,0.1
"69",4.4323798495837,101.538138433561,0.0058619141870045,0.103460775749272,0.00969599610906371,0.274506604060745,0.00925841679043266,0.197593004210381,0.0777630121816168,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,0.1,0.1,1,10,0.01,0
"70",4.74459542400459,104.909943649865,0.0101442876515805,0.196102070510289,0.00918073448929627,0.20249030806976,0.0122411763207392,0.317526456554064,0.0770505721668512,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,0.1,0.1,1,10,0.01,0.1
"71",5.67505033079926,89.1496748019534,0.00862804528638225,0.248234600407238,0.0060820722143584,0.193493452224794,0.00621771090194461,0.177255078057438,0.036375046142488,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,1,0.1,0,10,0.01,10
"72",1.11966898318271,0.00996215793239971,0.00266500770183732,0.0713212264451098,0.00349606960355114,0.0718622066279046,0.00155451897829983,0.067253419676502,0.0329826504245109,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,1,0.1,1,0.1,0.01,0
"73",0.97014917993491,0.0103259573394373,0.00217857509161104,0.074081718349556,0.00305556654464216,0.0716458136153221,0.00262282605500257,0.0668241768655562,0.0328866740494647,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,1,0.1,1,0.1,0.01,0.1
"74",0.975904908026385,0.919788243981935,0.00335964126397361,0.0784538778417502,0.004323613105423,0.0752023716346837,0.00351101510639776,0.0841626258056861,0.0327722406792174,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,1,0.1,1,1,0.01,0
"75",1.37725419142537,0.979710340665742,0.00366306065216574,0.0753598572897822,0.00229325200747436,0.0790342546524594,0.00361215208150319,0.0769588282126954,0.0329494278331488,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,1,0.1,1,1,0.01,0.1
"76",6.04049238779844,101.827067062826,0.00715802358133163,0.171131477640232,0.0107061629838062,0.264616018369986,0.0236817177407896,0.548984039282075,0.0364488741232927,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,1,0.1,1,10,0.01,0
"77",5.97683978340954,99.7583263648126,0.00296219393718778,0.0922692602643809,0.00592384211015356,0.113452550419884,0.00213821750246857,0.087756500197896,0.0363492063492064,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,1,0.1,1,10,0.01,0.1
"78",4.20670220704261,95.9492378777317,0.00412932899746161,0.0839264058614987,0.00354114917667198,0.13154740480477,0.00494605264137786,0.139251003546484,0.0301808785529716,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,10,0.1,0,10,0.01,10
"79",0.837461376826859,0.0100994230349418,0.00387640924984,0.0688706153457883,0.00245741041826911,0.0755499829536965,0.00173221163296551,0.0730806674298143,0.030531561461794,NA,1,1,0.05,0.3,0.3,0.1,0.1,1,0.03,10,0.1,1,0.1,0.01,0
